,st,occ_code,occ_title,tot_emp,h_mean,a_mean,year
40,AL,10000,Managerial and Administrative Occupations,,,,
41,AL,13000,Staff and Administrative Specialty Managerial Occupations,**,18.04,37530,1997
42,AL,13002,Financial Managers,8140,24.23,50400,1997
43,AL,13005,"Personnel, Training, and Labor Relations Managers",2760,20.84,43350,1997
44,AL,13008,Purchasing Managers,2370,19.07,39660,1997
45,AL,13011,"Marketing, Advertising, and Public Relations Managers",4500,23.76,49420,1997
46,AL,13014,Administrative Services Managers,2950,20.98,43650,1997
47,AL,13017,"Engineering, Mathematical, and Natural Sciences Managers",4010,29.81,62000,1997
48,AL,15000,Line and Middle Management Industry Specific Managerial Occupations,**,21.23,44160,1997
49,AL,15002,Postmasters and Mail Superintendents,550,22.39,46570,1997
50,AL,15005,Education Administrators,7110,25.52,53070,1997
51,AL,15008,Medicine and Health Services Managers,3390,20.57,42780,1997
52,AL,15011,Property and Real Estate Managers and Administrators,1940,15.55,32340,1997
53,AL,15014,Industrial Production Managers,3310,23.22,48290,1997
54,AL,15017,Construction Managers,4010,19.67,40920,1997
55,AL,15021,"Mining, Quarrying, and Oil and Gas Well Drilling Managers",120,27.85,57930,1997
56,AL,15023,"Communications, Transportation, and Utilities Operations Managers",2450,23.50,48870,1997
57,AL,15026,Food Service and Lodging Managers,4540,12.06,25090,1997
58,AL,15031,Nursery and Greenhouse Managers,30,13.57,28220,1997
59,AL,15032,Lawn Service Managers,190,12.93,26900,1997
60,AL,19000,Other Managerial and Administrative Occupations,**,19.11,39750,1997
61,AL,19002,"Public Administration Chief Executives, Legislators, and General Administrators",1150,11.97,24910,1997
62,AL,19005,General Managers and Top Executives,50390,25.16,52330,1997
63,AL,19999,All Other Managers and Administrators,8430,22.49,46770,1997
64,AL,20000,"Professional, Paraprofessional, and Technical Occupations",,,,
65,AL,21000,Management Support Occupations,**,13.36,27780,1997
66,AL,21102,Insurance Underwriters,630,17.81,37050,1997
67,AL,21105,Credit Analysts,320,14.01,29150,1997
68,AL,21108,Loan Officers and Counselors,3360,16.74,34820,1997
69,AL,21111,Tax Preparers,620,14.86,30910,1997
70,AL,21114,Accountants and Auditors,10470,17.53,36460,1997
71,AL,21117,Budget Analysts,720,23.04,47920,1997
72,AL,21199,All Other Financial Specialists,2010,20.59,42830,1997
73,AL,21302,"Wholesale and Retail Buyers, Except Farm Products",1460,16.97,35300,1997
74,AL,21305,"Purchasing Agents and Buyers, Farm Products",350,13.48,28040,1997
75,AL,21308,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3520,19.17,39860,1997
76,AL,21505,"Special Agents, Insurance",510,19.98,41560,1997
77,AL,21508,"Employment Interviewers, Private or Public Employment Service",730,12.96,26970,1997
78,AL,21511,"Personnel, Training, and Labor Relations Specialists",4440,17.95,37330,1997
79,AL,21902,Cost Estimators,2210,18.78,39060,1997
80,AL,21905,Management Analysts,1290,25.61,53280,1997
81,AL,21908,Construction and Building Inspectors,890,15.64,32530,1997
82,AL,21911,"Compliance Officers and Enforcement Inspectors, Except Construction",2130,17.20,35770,1997
83,AL,21914,"Tax Examiners, Collectors, and Revenue Agents",1060,19.20,39930,1997
84,AL,21917,Assessors,370,16.03,33350,1997
85,AL,21921,"Claims Examiners, Property and Casualty Insurance",220,15.46,32160,1997
86,AL,21999,All Other Management Support Workers,7870,19.88,41340,1997
87,AL,22000,Engineers and Related Occupations,**,*,*,1997
88,AL,22105,"Metallurgists and Metallurgical, Ceramic, and Materials Engineers",380,30.22,62860,1997
89,AL,22108,"Mining Engineers, Including Mine Safety",60,27.53,57260,1997
90,AL,22114,Chemical Engineers,550,26.10,54280,1997
91,AL,22117,Nuclear Engineers,40,34.36,71460,1997
92,AL,22121,"Civil Engineers, Including Traffic",2550,25.26,52530,1997
93,AL,22126,Electrical and Electronic Engineers,6070,28.35,58970,1997
94,AL,22127,Computer Engineers,3990,26.66,55450,1997
95,AL,22128,"Industrial Engineers, Except Safety",1450,25.00,52010,1997
96,AL,22132,"Safety Engineers, Except Mining",220,21.54,44810,1997
97,AL,22135,Mechanical Engineers,3040,25.25,52530,1997
98,AL,22138,Marine Engineers,60,23.11,48070,1997
99,AL,22199,All Other Engineers,6290,27.18,56540,1997
100,AL,22302,"Architects, Except Landscape and Marine",450,26.48,55080,1997
